"","feed.rate","depth","finish"
"1",0.2,0.15,74
"2",0.2,0.15,64
"3",0.2,0.15,60
"4",0.25,0.15,92
"5",0.25,0.15,86
"6",0.25,0.15,88
"7",0.3,0.15,99
"8",0.3,0.15,98
"9",0.3,0.15,102
"10",0.2,0.18,79
"11",0.2,0.18,68
"12",0.2,0.18,73
"13",0.25,0.18,98
"14",0.25,0.18,104
"15",0.25,0.18,88
"16",0.3,0.18,104
"17",0.3,0.18,99
"18",0.3,0.18,95
"19",0.2,0.2,82
"20",0.2,0.2,88
"21",0.2,0.2,92
"22",0.25,0.2,99
"23",0.25,0.2,108
"24",0.25,0.2,95
"25",0.3,0.2,108
"26",0.3,0.2,110
"27",0.3,0.2,99
"28",0.2,0.25,99
"29",0.2,0.25,104
"30",0.2,0.25,96
"31",0.25,0.25,104
"32",0.25,0.25,110
"33",0.25,0.25,99
"34",0.3,0.25,114
"35",0.3,0.25,111
"36",0.3,0.25,107
